max_ram_mib,workload,n,running,batch_ms_median,fp_mib,held_mib,guest_avail_mib,psi_some,errors_cum
8192,idle,260,260,88,3079,5963,1260,0.00,0
8192,idle,270,270,94,3080,5963,1272,0.00,0
8192,idle,280,280,91,3084,5963,1282,0.00,0
8192,idle,290,290,128,3086,5963,1260,0.00,0
8192,idle,300,300,94,3093,5963,1248,0.00,0
8192,idle,310,310,113,3098,5963,1248,0.00,0
8192,idle,320,320,92,3102,5963,1226,0.00,0
8192,idle,330,330,114,3110,5963,1222,0.00,0
8192,idle,340,340,103,3117,5963,1231,0.00,0
8192,idle,350,350,98,3133,5963,1191,0.00,0
8192,idle,360,360,116,3146,5963,1208,0.00,0
8192,idle,370,370,94,3148,5963,1176,0.00,0
8192,idle,380,380,94,3153,5963,1193,0.00,0
8192,idle,390,390,107,3164,5963,1173,0.00,0
8192,idle,400,400,92,3178,5963,1173,0.00,0
8192,idle,410,410,92,3182,5963,1174,0.00,0
8192,idle,420,420,103,3194,5963,1160,0.00,0
8192,idle,430,430,93,3198,5963,1153,0.00,0
8192,idle,440,440,95,3209,5963,1141,0.00,0
8192,idle,450,450,94,3236,5963,1106,0.00,0
8192,idle,460,460,93,3262,5963,1104,0.00,0
8192,idle,470,470,93,3272,5963,1075,0.00,0
8192,idle,480,480,96,3284,5963,1048,0.00,0
8192,idle,490,490,92,3296,5963,1045,0.00,0
8192,idle,500,500,92,3318,5963,1082,0.00,0
8192,nginx,10,10,121,2592,0,7527,0.00,0
8192,nginx,20,20,105,2738,0,7375,0.00,0
8192,nginx,30,30,119,2890,0,7227,0.00,0
8192,nginx,40,40,127,3054,0,7060,0.00,0
8192,nginx,50,50,115,3219,0,6907,0.00,0
8192,nginx,60,60,118,3385,0,6728,0.00,0
8192,nginx,70,70,116,3554,0,6563,0.00,0
8192,nginx,80,80,129,3745,0,6373,0.00,0
8192,nginx,90,90,132,3904,0,6239,0.00,0
8192,nginx,100,100,139,4034,0,6091,0.00,0
8192,nginx,110,110,134,4185,0,5939,0.00,0
8192,nginx,120,120,142,4366,0,5766,0.00,0
8192,nginx,130,130,140,4497,0,5656,0.00,0
8192,nginx,140,140,142,4654,0,5495,0.00,0
8192,nginx,150,150,153,4795,0,5350,0.00,0
8192,nginx,160,160,159,4984,0,5214,0.00,0
8192,nginx,170,170,151,5083,0,5133,0.00,0
8192,nginx,180,180,147,5192,0,5057,0.00,0
8192,nginx,190,190,152,5320,0,4877,0.00,0
8192,nginx,200,200,160,5433,0,4796,0.00,0
8192,nginx,210,210,182,5553,0,4635,0.00,0
8192,nginx,220,220,162,5672,0,4568,0.00,0
8192,nginx,230,230,165,5813,0,4416,0.00,0
8192,nginx,240,240,172,5934,0,4297,0.00,0
8192,nginx,250,250,193,6113,0,4100,0.00,0
8192,nginx,260,260,72,6242,0,4018,0.00,0
8192,nginx,270,270,80,6350,0,3951,0.00,0
8192,nginx,280,280,90,6454,2592,3607,0.00,0
8192,nginx,290,290,92,6569,2592,1118,0.00,0
8192,nginx,300,300,72,6680,2592,996,0.00,0
8192,nginx,310,310,90,6796,2592,862,0.00,0
8192,nginx,320,320,93,6935,2592,727,0.00,0
8192,nginx,330,330,92,7056,2592,583,0.00,0
8192,nginx,340,340,82,7190,1783,1257,0.00,0
8192,nginx,350,350,92,7318,1783,1169,0.00,0
